kwtts001001001_0	整理床单位
kwtts001001025_2	结束协助床上移动
kwtts001001025_3	协助床上移动开始
kwtts001001025_4	协助床上移动结束
kwtts001001026_0	借助器具移动
kwtts001001026_1	开始借助器具移动
kwtts001001026_2	结束借助器具移动
kwtts001001026_3	借助器具移动开始
kwtts001001026_4	借助器具移动结束
kwtts001001027_0	安全护理
kwtts001001027_1	开始安全护理
kwtts001001027_2	结束安全护理
kwtts001001027_3	安全护理开始
kwtts001001027_4	安全护理结束
kwtts002001034_0	测量或观察其他情况并记录
kwtts002001034_1	开始测量或观察其他情况并记录
kwtts002001034_2	结束测量或观察其他情况并记录
kwtts002001034_3	测量或观察其他情况并记录开始
kwtts002001034_4	测量或观察其他情况并记录结束
kwtts002001035_0	遵医嘱导尿女性
kwtts002001035_1	开始遵医嘱导尿女性
kwtts002001035_2	结束遵医嘱导尿女性
kwtts002001035_3	遵医嘱导尿女性开始
kwtts002001035_4	遵医嘱导尿女性结束
kwtts002001036_0	遵医嘱为老人灌入流质液体
kwtts002001036_1	开始遵医嘱为老人灌入流质液体
kwtts002001036_2	结束遵医嘱为老人灌入流质液体
kwtts002001036_3	遵医嘱为老人灌入流质液体开始
kwtts002001036_4	遵医嘱为老人灌入流质液体结束
kwtts002001037_0	遵医嘱灌肠
kwtts002001037_1	开始遵医嘱灌肠
kwtts002001037_2	结束遵医嘱灌肠
kwtts002001037_3	遵医嘱灌肠开始
kwtts002001037_4	遵医嘱灌肠结束
kwtts002001038_0	遵医嘱开塞露直肠栓剂给药
kwtts002001038_1	开始遵医嘱开塞露直肠栓剂给药
kwtts002001038_2	结束遵医嘱开塞露直肠栓剂给药
kwtts002001038_3	遵医嘱开塞露直肠栓剂给药开始
kwtts002001038_4	遵医嘱开塞露直肠栓剂给药结束
kwtts002001039_0	遵医嘱给予氧气治疗
kwtts002001039_1	开始遵医嘱给予氧气治疗
kwtts002001039_2	结束遵医嘱给予氧气治疗
kwtts002001039_3	遵医嘱给予氧气治疗开始
kwtts002001039_4	遵医嘱给予氧气治疗结束
kwtts002001040_0	遵医嘱测量血糖
kwtts002001040_1	开始遵医嘱测量血糖
kwtts002001040_2	结束遵医嘱测量血糖
kwtts002001040_3	遵医嘱测量血糖开始
kwtts002001040_4	遵医嘱测量血糖结束
kwtts002001041_0	遵医嘱实施口服给药
kwtts002001041_1	开始遵医嘱实施口服给药
kwtts002001041_2	结束遵医嘱实施口服给药
kwtts002001041_3	遵医嘱实施口服给药开始
kwtts002001041_4	遵医嘱实施口服给药结束
kwtts002001042_0	遵医嘱肌肉注射
kwtts002001042_1	开始遵医嘱肌肉注射
kwtts002001042_2	结束遵医嘱肌肉注射
kwtts002001042_3	遵医嘱肌肉注射开始
kwtts002001042_4	遵医嘱肌肉注射结束
kwtts002001043_0	遵医嘱皮下皮内注射
kwtts002001043_1	开始遵医嘱皮下皮内注射
kwtts002001043_2	结束遵医嘱皮下皮内注射
kwtts002001043_3	遵医嘱皮下皮内注射开始
kwtts002001043_4	遵医嘱皮下皮内注射结束
kwtts002001044_0	遵医嘱静脉血抽血
kwtts002001044_1	开始遵医嘱静脉血抽血
kwtts002001044_2	结束遵医嘱静脉血抽血
kwtts002001044_3	遵医嘱静脉血抽血开始
kwtts002001044_4	遵医嘱静脉血抽血结束
kwtts002001045_0	遵医嘱进行物理降温
kwtts002001045_1	开始遵医嘱进行物理降温
kwtts002001045_2	结束遵医嘱进行物理降温
kwtts002001045_3	遵医嘱进行物理降温开始
kwtts002001045_4	遵医嘱进行物理降温结束
kwtts002001046_0	根据医嘱进行压疮伤口换药
kwtts002001046_1	开始根据医嘱进行压疮伤口换药
kwtts002001046_2	结束根据医嘱进行压疮伤口换药
kwtts002001046_3	根据医嘱进行压疮伤口换药开始
kwtts002001046_4	根据医嘱进行压疮伤口换药结束
kwtts002001047_0	遵医嘱进行造口护理
kwtts002001047_1	开始遵医嘱进行造口护理
kwtts002001047_2	结束遵医嘱进行造口护理
kwtts002001047_3	遵医嘱进行造口护理开始
kwtts002001047_4	遵医嘱进行造口护理结束
kwtts005001001_0	头面部清洁和梳理
kwtts005001001_1	开始头面部清洁和梳理
kwtts005001001_2	结束头面部清洁和梳理
kwtts005001001_3	头面部清洁和梳理开始
kwtts005001001_4	头面部清洁和梳理结束
kwtts005001002_0	洗头
kwtts005001002_1	开始洗头
kwtts005001002_2	结束洗头
kwtts005001002_3	洗头开始
kwtts005001002_4	洗头结束
kwtts005001004_0	手部足部清洁
kwtts005001004_1	开始手部足部清洁
kwtts005001004_2	结束手部足部清洁
kwtts005001004_3	手部足部清洁开始
kwtts005001004_4	手部足部清洁结束
kwtts005001005_0	修剪指趾甲
kwtts005001005_1	开始修剪指趾甲
kwtts005001005_2	结束修剪指趾甲
kwtts005001005_3	修剪指趾甲开始
kwtts005001005_4	修剪指趾甲结束
kwtts005001006_0	会阴清洁
kwtts005001006_1	开始会阴清洁
kwtts005001006_2	结束会阴清洁
kwtts005001006_3	会阴清洁开始
kwtts005001006_4	会阴清洁结束
kwtts005001007_0	助浴
kwtts005001007_1	开始助浴
kwtts005001007_2	结束助浴
kwtts005001007_3	助浴开始
kwtts005001007_4	助浴结束
kwtts005001008_0	理发
kwtts005001008_1	开始理发
kwtts005001008_2	结束理发
kwtts005001008_3	理发开始
kwtts005001008_4	理发结束
kwtts005001012_0	安全防护及指导
kwtts005001012_1	开始安全防护及指导
kwtts005001012_2	结束安全防护及指导
kwtts005001012_3	安全防护及指导开始
kwtts005001012_4	安全防护及指导结束
kwtts005001013_0	协助如厕
kwtts005001013_1	开始协助如厕
kwtts005001013_2	结束协助如厕
kwtts005001013_3	协助如厕开始
kwtts005001013_4	协助如厕结束
kwtts006001015_0	协助移动
kwtts006001015_1	开始协助移动
kwtts006001015_2	结束协助移动
kwtts006001015_3	协助移动开始
kwtts006001015_4	协助移动结束
kwtts006001016_0	协助翻身叩背排痰
kwtts006001016_1	开始协助翻身叩背排痰
kwtts006001016_2	结束协助翻身叩背排痰
kwtts006001016_3	协助翻身叩背排痰开始
kwtts006001016_4	协助翻身叩背排痰结束
kwtts006001017_0	生命体征及血糖监测
kwtts006001017_1	开始生命体征及血糖监测
kwtts006001017_2	结束生命体征及血糖监测
kwtts006001017_3	生命体征及血糖监测开始
kwtts006001017_4	生命体征及血糖监测结束
kwtts006001018_0	特殊皮肤护理
kwtts006001018_1	开始特殊皮肤护理
kwtts006001018_2	结束特殊皮肤护理
kwtts006001018_3	特殊皮肤护理开始
kwtts006001018_4	特殊皮肤护理结束
kwtts006001019_0	留置鼻胃管护理
kwtts006001019_1	开始留置鼻胃管护理
kwtts006001019_2	结束留置鼻胃管护理
kwtts006001019_3	留置鼻胃管护理开始
kwtts006001019_4	留置鼻胃管护理结束
kwtts006001019_10	留置尿管护理
kwtts006001019_11	开始留置尿管护理
kwtts006001019_12	结束留置尿管护理
kwtts006001019_13	留置尿管护理开始
kwtts006001019_14	留置尿管护理结束
kwtts006001020_0	鼻胃管更换
kwtts006001020_1	开始鼻胃管更换
kwtts006001020_2	结束鼻胃管更换
kwtts006001020_3	鼻胃管更换开始
kwtts006001020_4	鼻胃管更换结束
kwtts006001020_10	尿管更换
kwtts006001020_11	开始尿管更换
kwtts006001020_12	结束尿管更换
kwtts006001020_13	尿管更换开始
kwtts006001020_14	尿管更换结束
kwtts006001021_0	压疮护理
kwtts006001021_1	开始压疮护理
kwtts006001021_2	结束压疮护理
kwtts006001021_3	压疮护理开始
kwtts006001021_4	压疮护理结束
kwtts006001022_0	压疮预防及指导
kwtts006001022_1	开始压疮预防及指导
kwtts006001022_2	结束压疮预防及指导
kwtts006001022_3	压疮预防及指导开始
kwtts006001022_4	压疮预防及指导结束
kwtts006001023_0	生活自理能力训练指导
kwtts006001023_1	开始生活自理能力训练指导
kwtts006001023_2	结束生活自理能力训练指导
kwtts006001023_3	生活自理能力训练指导开始
kwtts006001023_4	生活自理能力训练指导结束
kwtts006001024_0	肢体功能训练指导
kwtts006001024_1	开始肢体功能训练指导
kwtts006001024_2	结束肢体功能训练指导
kwtts006001024_3	肢体功能训练指导开始
kwtts006001024_4	肢体功能训练指导结束
kwtts006001025_0	认知能力训练指导
kwtts006001025_1	开始认知能力训练指导
kwtts006001025_2	结束认知能力训练指导
kwtts006001025_3	认知能力训练指导开始
kwtts006001025_4	认知能力训练指导结束
kwtts006001026_0	精神慰藉
kwtts006001026_1	开始精神慰藉
kwtts006001026_2	结束精神慰藉
kwtts006001026_3	精神慰藉开始
kwtts006001026_4	精神慰藉结束
kwtts006001027_0	安宁服务
kwtts006001027_1	开始安宁服务
kwtts006001027_2	结束安宁服务
kwtts006001027_3	安宁服务开始
kwtts006001027_4	安宁服务结束
kwtts007001008_0	安全防范及指导
kwtts007001008_1	开始安全防范及指导
kwtts007001008_2	结束安全防范及指导
kwtts007001008_3	安全防范及指导开始
kwtts007001008_4	安全防范及指导结束
kwtts007001010_0	鼻饲
kwtts007001010_1	开始鼻饲
kwtts007001010_2	结束鼻饲
kwtts007001010_3	鼻饲开始
kwtts007001010_4	鼻饲结束
kwtts007001012_0	失禁照护及指导
kwtts007001012_1	开始失禁照护及指导
kwtts007001012_2	结束失禁照护及指导
kwtts007001012_3	失禁照护及指导开始
kwtts007001012_4	失禁照护及指导结束
kwtts007001013_0	人工取便
kwtts007001013_1	开始人工取便
kwtts007001013_2	结束人工取便
kwtts007001013_3	人工取便开始
kwtts007001013_4	人工取便结束
kwtts007001014_0	压力性损伤压疮预防和照护
kwtts007001014_1	开始压力性损伤压疮预防和照护
kwtts007001014_2	结束压力性损伤压疮预防和照护
kwtts007001014_3	压力性损伤压疮预防和照护开始
kwtts007001014_4	压力性损伤压疮预防和照护结束
kwtts007001015_0	留置尿管照护
kwtts007001015_1	开始留置尿管照护
kwtts007001015_2	结束留置尿管照护
kwtts007001015_3	留置尿管照护开始
kwtts007001015_4	留置尿管照护结束
kwtts007001016_0	人工肛门便袋照护及指导
kwtts007001016_1	开始人工肛门便袋照护及指导
kwtts007001016_2	结束人工肛门便袋照护及指导
kwtts007001016_3	人工肛门便袋照护及指导开始
kwtts007001016_4	人工肛门便袋照护及指导结束
kwtts007001017_0	协助用药
kwtts007001017_1	开始协助用药
kwtts007001017_2	结束协助用药
kwtts007001017_3	协助用药开始
kwtts007001017_4	协助用药结束
kwtts003001001_0	筋膜球足底筋膜松解
kwtts003001001_1	开始筋膜球足底筋膜松解
kwtts003001001_2	结束筋膜球足底筋膜松解
kwtts003001001_3	筋膜球足底筋膜松解开始
kwtts003001001_4	筋膜球足底筋膜松解结束
kwtts003001002_0	足底抓毛巾训练
kwtts003001002_1	开始足底抓毛巾训练
kwtts003001002_2	结束足底抓毛巾训练
kwtts003001002_3	足底抓毛巾训练开始
kwtts003001002_4	足底抓毛巾训练结束
kwtts003001003_0	枕后扳机点松解
kwtts003001003_1	开始枕后扳机点松解
kwtts003001003_2	结束枕后扳机点松解
kwtts003001003_3	枕后扳机点松解开始
kwtts003001003_4	枕后扳机点松解结束
kwtts003001004_0	小腿后扳机点松解
kwtts003001004_1	开始小腿后扳机点松解
kwtts003001004_2	结束小腿后扳机点松解
kwtts003001004_3	小腿后扳机点松解开始
kwtts003001004_4	小腿后扳机点松解结束
kwtts003001005_0	下腰部扳机点松解
kwtts003001005_1	开始下腰部扳机点松解
kwtts003001005_2	结束下腰部扳机点松解
kwtts003001005_3	下腰部扳机点松解开始
kwtts003001005_4	下腰部扳机点松解结束
kwtts003001006_0	臀肌扳机点松解
kwtts003001006_1	开始臀肌扳机点松解
kwtts003001006_2	结束臀肌扳机点松解
kwtts003001006_3	臀肌扳机点松解开始
kwtts003001006_4	臀肌扳机点松解结束
kwtts003001007_0	上背部扳机点松解
kwtts003001007_1	开始上背部扳机点松解
kwtts003001007_2	结束上背部扳机点松解
kwtts003001007_3	上背部扳机点松解开始
kwtts003001007_4	上背部扳机点松解结束
kwtts003001008_0	颈侧扳机点松解
kwtts003001008_1	开始颈侧扳机点松解
kwtts003001008_2	结束颈侧扳机点松解
kwtts003001008_3	颈侧扳机点松解开始
kwtts003001008_4	颈侧扳机点松解结束
kwtts003001009_0	肩臂后扳机点松解
kwtts003001009_1	开始肩臂后扳机点松解
kwtts003001009_2	结束肩臂后扳机点松解
kwtts003001009_3	肩臂后扳机点松解开始
kwtts003001009_4	肩臂后扳机点松解结束
kwtts003001010_0	股前部扳机点松解
kwtts003001010_1	开始股前部扳机点松解
kwtts003001010_2	结束股前部扳机点松解
kwtts003001010_3	股前部扳机点松解开始
kwtts003001010_4	股前部扳机点松解结束
kwtts003001011_0	股后部扳机点松解
kwtts003001011_1	开始股后部扳机点松解
kwtts003001011_2	结束股后部扳机点松解
kwtts003001011_3	股后部扳机点松解开始
kwtts003001011_4	股后部扳机点松解结束
kwtts003001012_0	治疗性进食训练
kwtts003001012_1	开始治疗性进食训练
kwtts003001012_2	结束治疗性进食训练
kwtts003001012_3	治疗性进食训练开始
kwtts003001012_4	治疗性进食训练结束
kwtts003001013_0	臀桥耐力训练
kwtts003001013_1	开始臀桥耐力训练
kwtts003001013_2	结束臀桥耐力训练
kwtts003001013_3	臀桥耐力训练开始
kwtts003001013_4	臀桥耐力训练结束
kwtts003001014_0	头颈操
kwtts003001014_1	开始头颈操
kwtts003001014_2	结束头颈操
kwtts003001014_3	头颈操开始
kwtts003001014_4	头颈操结束
kwtts003001015_0	小腿软组织松解
kwtts003001015_1	开始小腿软组织松解
kwtts003001015_2	结束小腿软组织松解
kwtts003001015_3	小腿软组织松解开始
kwtts003001015_4	小腿软组织松解结束
kwtts003001016_0	下腰部软组织松解
kwtts003001016_1	开始下腰部软组织松解
kwtts003001016_2	结束下腰部软组织松解
kwtts003001016_3	下腰部软组织松解开始
kwtts003001016_4	下腰部软组织松解结束
kwtts003001017_0	胸臂前软组织松解
kwtts003001017_1	开始胸臂前软组织松解
kwtts003001017_2	结束胸臂前软组织松解
kwtts003001017_3	胸臂前软组织松解开始
kwtts003001017_4	胸臂前软组织松解结束
kwtts003001018_0	臀肌软组织松解
kwtts003001018_1	开始臀肌软组织松解
kwtts003001018_2	结束臀肌软组织松解
kwtts003001018_3	臀肌软组织松解开始
kwtts003001018_4	臀肌软组织松解结束
kwtts003001019_0	肩臂后软组织松解
kwtts003001019_1	开始肩臂后软组织松解
kwtts003001019_2	结束肩臂后软组织松解
kwtts003001019_3	肩臂后软组织松解开始
kwtts003001019_4	肩臂后软组织松解结束
kwtts003001020_0	股前部软组织松解
kwtts003001020_1	开始股前部软组织松解
kwtts003001020_2	结束股前部软组织松解
kwtts003001020_3	股前部软组织松解开始
kwtts003001020_4	股前部软组织松解结束
kwtts003001021_0	枕后软组织松解
kwtts003001021_1	开始枕后软组织松解
kwtts003001021_2	结束枕后软组织松解
kwtts003001021_3	枕后软组织松解开始
kwtts003001021_4	枕后软组织松解结束
kwtts003001022_0	上背部软组织松解
kwtts003001022_1	开始上背部软组织松解
kwtts003001022_2	结束上背部软组织松解
kwtts003001022_3	上背部软组织松解开始
kwtts003001022_4	上背部软组织松解结束
kwtts003001023_0	颈侧软组织松解
kwtts003001023_1	开始颈侧软组织松解
kwtts003001023_2	结束颈侧软组织松解
kwtts003001023_3	颈侧软组织松解开始
kwtts003001023_4	颈侧软组织松解结束
kwtts003001024_0	颈后软组织松解
kwtts003001024_1	开始颈后软组织松解
kwtts003001024_2	结束颈后软组织松解
kwtts003001024_3	颈后软组织松解开始
kwtts003001024_4	颈后软组织松解结束
kwtts003001025_0	股后部软组织松解
kwtts003001025_1	开始股后部软组织松解
kwtts003001025_2	结束股后部软组织松解
kwtts003001025_3	股后部软组织松解开始
kwtts003001025_4	股后部软组织松解结束
kwtts003001026_0	萨门核心训练五级
kwtts003001026_1	开始萨门核心训练五级
kwtts003001026_2	结束萨门核心训练五级
kwtts003001026_3	萨门核心训练五级开始
kwtts003001026_4	萨门核心训练五级结束
kwtts003001027_0	萨门核心训练四级
kwtts003001027_1	开始萨门核心训练四级
kwtts003001027_2	结束萨门核心训练四级
kwtts003001027_3	萨门核心训练四级开始
kwtts003001027_4	萨门核心训练四级结束
kwtts003001028_0	萨门核心训练三级
kwtts003001028_1	开始萨门核心训练三级
kwtts003001028_2	结束萨门核心训练三级
kwtts003001028_3	萨门核心训练三级开始
kwtts003001028_4	萨门核心训练三级结束
kwtts003001029_0	萨门核心训练二级
kwtts003001029_1	开始萨门核心训练二级
kwtts003001029_2	结束萨门核心训练二级
kwtts003001029_3	萨门核心训练二级开始
kwtts003001029_4	萨门核心训练二级结束
kwtts003001030_0	萨门核心训练一级
kwtts003001030_1	开始萨门核心训练一级
kwtts003001030_2	结束萨门核心训练一级
kwtts003001030_3	萨门核心训练一级开始
kwtts003001030_4	萨门核心训练一级结束
kwtts003001031_0	静态坐姿纠正
kwtts003001031_1	开始静态坐姿纠正
kwtts003001031_2	结束静态坐姿纠正
kwtts003001031_3	静态坐姿纠正开始
kwtts003001031_4	静态坐姿纠正结束
kwtts003001032_0	制动提醒右侧踝关节
kwtts003001032_1	开始制动提醒右侧踝关节
kwtts003001032_2	结束制动提醒右侧踝关节
kwtts003001032_3	制动提醒右侧踝关节开始
kwtts003001032_4	制动提醒右侧踝关节结束
kwtts003001033_0	踝屈伸助力训练
kwtts003001033_1	开始踝屈伸助力训练
kwtts003001033_2	结束踝屈伸助力训练
kwtts003001033_3	踝屈伸助力训练开始
kwtts003001033_4	踝屈伸助力训练结束
kwtts003001034_0	伸指抗阻训练
kwtts003001034_1	开始伸指抗阻训练
kwtts003001034_2	结束伸指抗阻训练
kwtts003001034_3	伸指抗阻训练开始
kwtts003001034_4	伸指抗阻训练结束
kwtts003001035_0	握力抗阻训练
kwtts003001035_1	开始握力抗阻训练
kwtts003001035_2	结束握力抗阻训练
kwtts003001035_3	握力抗阻训练开始
kwtts003001035_4	握力抗阻训练结束
kwtts003001036_0	腕背伸抗阻训练
kwtts003001036_1	开始腕背伸抗阻训练
kwtts003001036_2	结束腕背伸抗阻训练
kwtts003001036_3	腕背伸抗阻训练开始
kwtts003001036_4	腕背伸抗阻训练结束
kwtts003001037_0	腕掌屈抗阻训练
kwtts003001037_1	开始腕掌屈抗阻训练
kwtts003001037_2	结束腕掌屈抗阻训练
kwtts003001037_3	腕掌屈抗阻训练开始
kwtts003001037_4	腕掌屈抗阻训练结束
kwtts003001038_0	腕屈伸抗阻训练
kwtts003001038_1	开始腕屈伸抗阻训练
kwtts003001038_2	结束腕屈伸抗阻训练
kwtts003001038_3	腕屈伸抗阻训练开始
kwtts003001038_4	腕屈伸抗阻训练结束
kwtts003001039_0	前臂旋后抗阻训练
kwtts003001039_1	开始前臂旋后抗阻训练
kwtts003001039_2	结束前臂旋后抗阻训练
kwtts003001039_3	前臂旋后抗阻训练开始
kwtts003001039_4	前臂旋后抗阻训练结束
kwtts003001040_0	拧毛巾抗阻训练
kwtts003001040_1	开始拧毛巾抗阻训练
kwtts003001040_2	结束拧毛巾抗阻训练
kwtts003001040_3	拧毛巾抗阻训练开始
kwtts003001040_4	拧毛巾抗阻训练结束
kwtts003001041_0	前臂徒手肌肉放松
kwtts003001041_1	开始前臂徒手肌肉放松
kwtts003001041_2	结束前臂徒手肌肉放松
kwtts003001041_3	前臂徒手肌肉放松开始
kwtts003001041_4	前臂徒手肌肉放松结束
kwtts003001042_0	筋膜加压肩前屈训练
kwtts003001042_1	开始筋膜加压肩前屈训练
kwtts003001042_2	结束筋膜加压肩前屈训练
kwtts003001042_3	筋膜加压肩前屈训练开始
kwtts003001042_4	筋膜加压肩前屈训练结束
kwtts003001043_0	筋膜加压肘屈曲训练
kwtts003001043_1	开始筋膜加压肘屈曲训练
kwtts003001043_2	结束筋膜加压肘屈曲训练
kwtts003001043_3	筋膜加压肘屈曲训练开始
kwtts003001043_4	筋膜加压肘屈曲训练结束
kwtts003001044_0	肘伸展主动训练
kwtts003001044_1	开始肘伸展主动训练
kwtts003001044_2	结束肘伸展主动训练
kwtts003001044_3	肘伸展主动训练开始
kwtts003001044_4	肘伸展主动训练结束
kwtts003001045_0	肘屈伸助力训练
kwtts003001045_1	开始肘屈伸助力训练
kwtts003001045_2	结束肘屈伸助力训练
kwtts003001045_3	肘屈伸助力训练开始
kwtts003001045_4	肘屈伸助力训练结束
kwtts003001046_0	肘屈伸被动训练
kwtts003001046_1	开始肘屈伸被动训练
kwtts003001046_2	结束肘屈伸被动训练
kwtts003001046_3	肘屈伸被动训练开始
kwtts003001046_4	肘屈伸被动训练结束
kwtts003001047_0	肩后伸主动训练
kwtts003001047_1	开始肩后伸主动训练
kwtts003001047_2	结束肩后伸主动训练
kwtts003001047_3	肩后伸主动训练开始
kwtts003001047_4	肩后伸主动训练结束
kwtts003001048_0	口面感觉刺激手法
kwtts003001048_1	开始口面感觉刺激手法
kwtts003001048_2	结束口面感觉刺激手法
kwtts003001048_3	口面感觉刺激手法开始
kwtts003001048_4	口面感觉刺激手法结束
kwtts003001049_0	口腔冰刺激
kwtts003001049_1	开始口腔冰刺激
kwtts003001049_2	结束口腔冰刺激
kwtts003001049_3	口腔冰刺激开始
kwtts003001049_4	口腔冰刺激结束
kwtts003001050_0	躯干转动训练
kwtts003001050_1	开始躯干转动训练
kwtts003001050_2	结束躯干转动训练
kwtts003001050_3	躯干转动训练开始
kwtts003001050_4	躯干转动训练结束
kwtts003001051_0	骨盆旋转训练
kwtts003001051_1	开始骨盆旋转训练
kwtts003001051_2	结束骨盆旋转训练
kwtts003001051_3	骨盆旋转训练开始
kwtts003001051_4	骨盆旋转训练结束
kwtts003001052_0	肌内效贴手部消肿贴扎
kwtts003001052_1	开始肌内效贴手部消肿贴扎
kwtts003001052_2	结束肌内效贴手部消肿贴扎
kwtts003001052_3	肌内效贴手部消肿贴扎开始
kwtts003001052_4	肌内效贴手部消肿贴扎结束
kwtts003001053_0	下肢水肿良姿位
kwtts003001053_1	开始下肢水肿良姿位
kwtts003001053_2	结束下肢水肿良姿位
kwtts003001053_3	下肢水肿良姿位开始
kwtts003001053_4	下肢水肿良姿位结束
kwtts003001054_0	肌内效贴踝部消肿贴扎
kwtts003001054_1	开始肌内效贴踝部消肿贴扎
kwtts003001054_2	结束肌内效贴踝部消肿贴扎
kwtts003001054_3	肌内效贴踝部消肿贴扎开始
kwtts003001054_4	肌内效贴踝部消肿贴扎结束
kwtts003001055_0	下肢水肿弹力袜
kwtts003001055_1	开始下肢水肿弹力袜
kwtts003001055_2	结束下肢水肿弹力袜
kwtts003001055_3	下肢水肿弹力袜开始
kwtts003001055_4	下肢水肿弹力袜结束
kwtts003001056_0	弗洛斯绷带足部消肿
kwtts003001056_1	开始弗洛斯绷带足部消肿
kwtts003001056_2	结束弗洛斯绷带足部消肿
kwtts003001056_3	弗洛斯绷带足部消肿开始
kwtts003001056_4	弗洛斯绷带足部消肿结束
kwtts003001057_0	弗洛斯绷带手部消肿
kwtts003001057_1	开始弗洛斯绷带手部消肿
kwtts003001057_2	结束弗洛斯绷带手部消肿
kwtts003001057_3	弗洛斯绷带手部消肿开始
